country,league,home_team,home_buildUpPlaySpeed,home_buildUpPlayDribbling,home_buildUpPlayPassing,home_chanceCreationPassing,home_chanceCreationCrossing,home_chanceCreationShooting,home_defencePressure,home_defenceAggression,home_defenceTeamWidth,away_team,away_buildUpPlaySpeed,away_buildUpPlayDribbling,away_buildUpPlayPassing,away_chanceCreationPassing,away_chanceCreationCrossing,away_chanceCreationShooting,away_defencePressure,away_defenceAggression,away_defenceTeamWidth,result,reward
1,1,8635,,,,,,,,,,4049,,,,,,,,,,1,0.2
1,1,9985,,,,,,,,,,10000,,,,,,,,,,2,6.5
1,1,9998,,,,,,,,,,7947,,,,,,,,,,1,1.1
1,1,9986,,,,,,,,,,8203,,,,,,,,,,2,4
1,1,9984,,,,,,,,,,9991,,,,,,,,,,1,1.4
1,1,9994,,,,,,,,,,8342,,,,,,,,,,1,1.88
1,1,9999,,,,,,,,,,10001,,,,,,,,,,1,2.25
1,1,8571,,,,,,,,,,9987,,,,,,,,,,1,2.25
1,1,9993,,,,,,,,,,9996,,,,,,,,,,1,1.2
1,1,8342,,,,,,,,,,9985,,,,,,,,,,2,1.62
1,1,9987,,,,,,,,,,9986,,,,,,,,,,1,0.53
1,1,10000,,,,,,,,,,9996,,,,,,,,,,1,1.05
1,1,9991,,,,,,,,,,8571,,,,,,,,,,3,3
1,1,7947,,,,,,,,,,9994,,,,,,,,,,3,2.25
1,1,8203,,,,,,,,,,9993,,,,,,,,,,1,1.5
1,1,9999,,,,,,,,,,8635,,,,,,,,,,2,0.36
1,1,4049,,,,,,,,,,9998,,,,,,,,,,1,1.8
1,1,10001,,,,,,,,,,9984,,,,,,,,,,2,2.6
1,1,8635,,,,,,,,,,9987,,,,,,,,,,1,0.57
1,1,9985,,,,,,,,,,9991,,,,,,,,,,1,0.5
1,1,9998,,,,,,,,,,10000,,,,,,,,,,3,2.25
1,1,9986,,,,,,,,,,7947,,,,,,,,,,1,0.61
1,1,9984,,,,,,,,,,9999,,,,,,,,,,1,0.4
1,1,9994,,,,,,,,,,8203,,,,,,,,,,3,2.4
1,1,9996,,,,,,,,,,8342,,,,,,,,,,1,2
1,1,8571,,,,,,,,,,10001,,,,,,,,,,3,2.25
1,1,9993,,,,,,,,,,4049,,,,,,,,,,1,0.57
1,1,9993,,,,,,,,,,9987,,,,,,,,,,1,1.6
1,1,9994,,,,,,,,,,10000,,,,,,,,,,1,1.1
1,1,8635,,,,,,,,,,9984,,,,,,,,,,2,8
1,1,9998,,,,,,,,,,9991,,,,,,,,,,2,1.3
1,1,9985,,,,,,,,,,7947,,,,,,,,,,1,0.2
1,1,8342,,,,,,,,,,8203,,,,,,,,,,1,0.45
1,1,8571,,,,,,,,,,9999,,,,,,,,,,1,0.67
1,1,9996,,,,,,,,,,4049,,,,,,,,,,3,2.8
1,1,9986,,,,,,,,,,10001,,,,,,,,,,2,2.5
1,1,10000,,,,,,,,,,8342,,,,,,,,,,1,1.7
1,1,9991,,,,,,,,,,8635,,,,,,,,,,2,1.2
1,1,10001,,,,,,,,,,9985,,,,,,,,,,2,1
1,1,9987,,,,,,,,,,9998,,,,,,,,,,1,0.44
1,1,9999,,,,,,,,,,9986,,,,,,,,,,1,1.7
1,1,4049,,,,,,,,,,9994,,,,,,,,,,1,1.9
1,1,8203,,,,,,,,,,9996,,,,,,,,,,3,2.25
1,1,9984,,,,,,,,,,8571,,,,,,,,,,2,4.25
1,1,7947,,,,,,,,,,9993,,,,,,,,,,2,1.1
1,1,8342,,,,,,,,,,10000,,,,,,,,,,1,0.33
1,1,8635,,,,,,,,,,9991,,,,,,,,,,3,2.4
1,1,9985,,,,,,,,,,10001,,,,,,,,,,1,0.33
1,1,9998,,,,,,,,,,9987,,,,,,,,,,1,2.6
1,1,9986,,,,,,,,,,9999,,,,,,,,,,1,0.5
1,1,9994,,,,,,,,,,4049,,,,,,,,,,1,0.65
1,1,9996,,,,,,,,,,8203,,,,,,,,,,1,1.05
1,1,8571,,,,,,,,,,9984,,,,,,,,,,1,2
1,1,9993,,,,,,,,,,7947,,,,,,,,,,3,2.75
1,1,8571,,,,,,,,,,8635,,,,,,,,,,2,0.66
1,1,9994,,,,,,,,,,9987,,,,,,,,,,2,1.7
1,1,9998,,,,,,,,,,9984,,,,,,,,,,3,2.2
1,1,9986,,,,,,,,,,9991,,,,,,,,,,2,1.5
1,1,9996,,,,,,,,,,7947,,,,,,,,,,2,4.5
1,1,10000,,,,,,,,,,8203,,,,,,,,,,3,2.4
1,1,9985,,,,,,,,,,9999,,,,,,,,,,1,0.2
1,1,8342,,,,,,,,,,4049,,,,,,,,,,1,0.3
1,1,9993,,,,,,,,,,10001,,,,,,,,,,1,0.9
1,1,7947,,,,,,,,,,8342,,,,,,,,,,2,0.72
1,1,8571,,,,,,,,,,9985,,,,,,,,,,2,0.66
1,1,8635,,,,,,,,,,9998,,,,,,,,,,1,0.2
1,1,9987,,,,,,,,,,10000,,,,,,,,,,2,3.75
1,1,9984,,,,,,,,,,9986,,,,,,,,,,3,2.5
1,1,10001,,,,,,,,,,9994,,,,,,,,,,1,1
1,1,4049,,,,,,,,,,8203,,,,,,,,,,2,1.62
1,1,9991,,,,,,,,,,9996,,,,,,,,,,1,0.57
1,1,9999,,,,,,,,,,9993,,,,,,,,,,3,2.2
1,1,9986,,,,,,,,,,8635,,,,,,,,,,2,0.72
1,1,8342,,,,,,,,,,9987,,,,,,,,,,2,2.8
1,1,9993,,,,,,,,,,9984,,,,,,,,,,3,2.3
1,1,8203,,,,,,,,,,9991,,,,,,,,,,3,2.3
1,1,10000,,,,,,,,,,7947,,,,,,,,,,1,0.57
1,1,9994,,,,,,,,,,9999,,,,,,,,,,1,0.66
1,1,9998,,,,,,,,,,8571,,,,,,,,,,3,2.3
1,1,9985,,,,,,,,,,4049,,,,,,,,,,1,0.22
1,1,9996,,,,,,,,,,10001,,,,,,,,,,3,2.3
1,1,10001,,,,,,,,,,8342,,,,,,,,,,3,2.2
1,1,8635,,,,,,,,,,9985,,,,,,,,,,1,1.25
1,1,9999,,,,,,,,,,9998,,,,,,,,,,1,1.1
1,1,4049,,,,,,,,,,10000,,,,,,,,,,2,1.2
1,1,8571,,,,,,,,,,9986,,,,,,,,,,3,2.4
1,1,9984,,,,,,,,,,9994,,,,,,,,,,3,2.4
1,1,7947,,,,,,,,,,8203,,,,,,,,,,2,1.87
1,1,9987,,,,,,,,,,9996,,,,,,,,,,3,3.5
1,1,9991,,,,,,,,,,9993,,,,,,,,,,2,4
1,1,9996,,,,,,,,,,8635,,,,,,,,,,3,2.75
1,1,8203,,,,,,,,,,9987,,,,,,,,,,1,2
1,1,9986,,,,,,,,,,9998,,,,,,,,,,1,1
1,1,9985,,,,,,,,,,9984,,,,,,,,,,1,0.44
1,1,9994,,,,,,,,,,9991,,,,,,,,,,2,1.45
1,1,8342,,,,,,,,,,9999,,,,,,,,,,1,0.36
1,1,9993,,,,,,,,,,8571,,,,,,,,,,1,0.66
1,1,7947,,,,,,,,,,4049,,,,,,,,,,1,0.85
1,1,10000,,,,,,,,,,10001,,,,,,,,,,3,2.25
1,1,9984,,,,,,,,,,8342,,,,,,,,,,2,1.37
1,1,9998,,,,,,,,,,9985,,,,,,,,,,2,0.57
1,1,8635,,,,,,,,,,10000,,,,,,,,,,1,0.4
1,1,8571,,,,,,,,,,9994,,,,,,,,,,2,2.1
1,1,9987,,,,,,,,,,7947,,,,,,,,,,1,0.4
1,1,10001,,,,,,,,,,8203,,,,,,,,,,2,3.2
1,1,9999,,,,,,,,,,9996,,,,,,,,,,1,0.85
1,1,9991,,,,,,,,,,4049,,,,,,,,,,1,0.28
1,1,9986,,,,,,,,,,9993,,,,,,,,,,3,2.25
1,1,8203,,,,,,,,,,8635,,,,,,,,,,1,3.5
1,1,9985,,,,,,,,,,9987,,,,,,,,,,1,0.57
1,1,9993,,,,,,,,,,9998,,,,,,,,,,1,
1,1,9994,,,,,,,,,,9986,,,,,,,,,,3,2.25
1,1,7947,,,,,,,,,,9984,,,,,,,,,,1,1.88
1,1,8342,,,,,,,,,,9991,,,,,,,,,,2,3
1,1,10000,,,,,,,,,,9999,,,,,,,,,,3,2.5
1,1,9996,,,,,,,,,,8571,,,,,,,,,,1,1.7
1,1,4049,,,,,,,,,,10001,,,,,,,,,,2,0.8
1,1,8571,,,,,,,,,,8342,,,,,,,,,,2,1
1,1,9986,,,,,,,,,,9985,,,,,,,,,,1,3.75
1,1,9991,,,,,,,,,,10000,,,,,,,,,,1,0.65
1,1,9998,,,,,,,,,,9994,,,,,,,,,,2,2
1,1,10001,,,,,,,,,,7947,,,,,,,,,,1,0.57
1,1,9999,,,,,,,,,,8203,,,,,,,,,,1,1.2
1,1,9984,,,,,,,,,,9996,,,,,,,,,,2,4.25
1,1,9987,,,,,,,,,,4049,,,,,,,,,,1,0.22
1,1,8635,,,,,,,,,,9993,,,,,,,,,,1,0.4
1,1,9994,,,,,,,,,,8635,,,,,,,,,,3,2.6
1,1,9996,,,,,,,,,,9998,,,,,,,,,,1,0.9
1,1,8342,,,,,,,,,,9986,,,,,,,,,,1,0.5
1,1,10000,,,,,,,,,,9984,,,,,,,,,,1,1
1,1,7947,,,,,,,,,,9991,,,,,,,,,,3,2.6
1,1,4049,,,,,,,,,,9999,,,,,,,,,,2,1.3
1,1,8203,,,,,,,,,,8571,,,,,,,,,,3,2.5
1,1,9987,,,,,,,,,,10001,,,,,,,,,,2,4.25
1,1,9985,,,,,,,,,,9993,,,,,,,,,,1,0.36
1,1,8635,,,,,,,,,,8342,,,,,,,,,,1,0.67
1,1,9999,,,,,,,,,,9987,,,,,,,,,,1,2.2
1,1,9993,,,,,,,,,,10000,,,,,,,,,,2,3
1,1,9985,,,,,,,,,,9994,,,,,,,,,,1,0.33
1,1,8571,,,,,,,,,,7947,,,,,,,,,,2,2.8
1,1,9998,,,,,,,,,,8203,,,,,,,,,,2,2.2
1,1,9986,,,,,,,,,,9996,,,,,,,,,,1,0.95
1,1,9984,,,,,,,,,,4049,,,,,,,,,,1,0.4
1,1,9991,,,,,,,,,,10001,,,,,,,,,,1,0.8
1,1,8635,,,,,,,,,,8571,,,,,,,,,,1,0.29
1,1,9987,,,,,,,,,,9994,,,,,,,,,,1,0.62
1,1,9984,,,,,,,,,,9998,,,,,,,,,,1,0.7
1,1,9991,,,,,,,,,,9986,,,,,,,,,,1,0.62
1,1,7947,,,,,,,,,,9996,,,,,,,,,,2,1.5
1,1,8203,,,,,,,,,,10000,,,,,,,,,,2,2.25
1,1,9999,,,,,,,,,,9985,,,,,,,,,,3,2.6
1,1,4049,,,,,,,,,,8342,,,,,,,,,,2,0.53
1,1,10001,,,,,,,,,,9993,,,,,,,,,,1,1.25
1,1,10001,,,,,,,,,,8635,,,,,,,,,,2,0.73
1,1,9996,,,,,,,,,,9985,,,,,,,,,,2,0.57
1,1,8342,,,,,,,,,,9998,,,,,,,,,,1,0.29
1,1,4049,,,,,,,,,,9986,,,,,,,,,,1,3.33
1,1,8203,,,,,,,,,,9984,,,,,,,,,,2,2
1,1,9987,,,,,,,,,,9991,,,,,,,,,,3,2.3
1,1,7947,,,,,,,,,,9999,,,,,,,,,,1,1.38
1,1,10000,,,,,,,,,,8571,,,,,,,,,,1,0.73
1,1,9994,,,,,,,,,,9993,,,,,,,,,,1,1.38
1,1,9993,,,,,,,,,,8342,,,,,,,,,,1,1.6
1,1,9984,,,,,,,,,,9987,,,,,,,,,,2,
1,1,9986,,,,,,,,,,10000,,,,,,,,,,1,1.1
1,1,9999,,,,,,,,,,9991,,,,,,,,,,2,1.1
1,1,8635,,,,,,,,,,7947,,,,,,,,,,1,0.14
1,1,9985,,,,,,,,,,8203,,,,,,,,,,1,0.18
1,1,9994,,,,,,,,,,9996,,,,,,,,,,1,0.8
1,1,8571,,,,,,,,,,4049,,,,,,,,,,3,2.8
1,1,9998,,,,,,,,,,10001,,,,,,,,,,2,1.05
1,1,4049,,,,,,,,,,8635,,,,,,,,,,3,5
1,1,10000,,,,,,,,,,9985,,,,,,,,,,3,2.6
1,1,7947,,,,,,,,,,9998,,,,,,,,,,3,3
1,1,8203,,,,,,,,,,9986,,,,,,,,,,1,1.3
1,1,9991,,,,,,,,,,9984,,,,,,,,,,1,0.36
1,1,8342,,,,,,,,,,9994,,,,,,,,,,2,6
1,1,10001,,,,,,,,,,9999,,,,,,,,,,1,0.57
1,1,9987,,,,,,,,,,8571,,,,,,,,,,2,6.5
1,1,9996,,,,,,,,,,9993,,,,,,,,,,1,1.6
1,1,9985,,,,,,,,,,8342,,,,,,,,,,1,0.44
1,1,9986,,,,,,,,,,9987,,,,,,,,,,1,1.25
1,1,9996,,,,,,,,,,10000,,,,,,,,,,2,2
1,1,8571,,,,,,,,,,9991,,,,,,,,,,2,0.83
1,1,9994,,,,,,,,,,7947,,,,,,,,,,2,3.75
1,1,9993,,,,,,,,,,8203,,,,,,,,,,1,0.91
1,1,8635,,,,,,,,,,9999,,,,,,,,,,1,0.14
1,1,9998,,,,,,,,,,4049,,,,,,,,,,3,2.5
1,1,9984,,,,,,,,,,10001,,,,,,,,,,1,1.62
1,1,9987,,,,,,,,,,8635,,,,,,,,,,2,0.4
1,1,9991,,,,,,,,,,9985,,,,,,,,,,2,0.67
1,1,10000,,,,,,,,,,9998,,,,,,,,,,1,0.33
1,1,7947,,,,,,,,,,9986,,,,,,,,,,2,4.75
1,1,9999,,,,,,,,,,9984,,,,,,,,,,2,1.5
1,1,8203,,,,,,,,,,9994,,,,,,,,,,1,1
1,1,8342,,,,,,,,,,9996,,,,,,,,,,1,0.44
1,1,10001,,,,,,,,,,8571,,,,,,,,,,2,2.4
1,1,4049,,,,,,,,,,9993,,,,,,,,,,1,2.75
1,1,8342,,,,,,,,,,7947,,,,,,,,,,3,4.25
1,1,9985,,,,,,,,,,8571,,,,,,,,,,1,0.17
1,1,9998,,,,,,,,,,8635,,,,,,,,,,2,0.5
1,1,10000,,,,,,,,,,9987,,,,,,,,,,2,1.38
1,1,9986,,,,,,,,,,9984,,,,,,,,,,1,1.6
1,1,9994,,,,,,,,,,10001,,,,,,,,,,3,2.1
1,1,8203,,,,,,,,,,4049,,,,,,,,,,3,2.6
1,1,9996,,,,,,,,,,9991,,,,,,,,,,1,1.88
1,1,9993,,,,,,,,,,9999,,,,,,,,,,1,0.5
1,1,8635,,,,,,,,,,9986,,,,,,,,,,1,0.4
1,1,9987,,,,,,,,,,8342,,,,,,,,,,2,1.62
1,1,9984,,,,,,,,,,9993,,,,,,,,,,1,1
1,1,9991,,,,,,,,,,8203,,,,,,,,,,2,6.5
1,1,7947,,,,,,,,,,10000,,,,,,,,,,1,1.38
1,1,9999,,,,,,,,,,9994,,,,,,,,,,2,1.88
1,1,8571,,,,,,,,,,9998,,,,,,,,,,1,1.1
1,1,4049,,,,,,,,,,9985,,,,,,,,,,2,0.44
1,1,10001,,,,,,,,,,9996,,,,,,,,,,3,2.25
1,1,8342,,,,,,,,,,10001,,,,,,,,,,1,0.44
1,1,9985,,,,,,,,,,8635,,,,,,,,,,1,1.1
1,1,9998,,,,,,,,,,9999,,,,,,,,,,1,0.8
1,1,10000,,,,,,,,,,4049,,,,,,,,,,1,0.55
1,1,9986,,,,,,,,,,8571,,,,,,,,,,2,4.5
1,1,9994,,,,,,,,,,9984,,,,,,,,,,3,2.3
1,1,8203,,,,,,,,,,7947,,,,,,,,,,1,0.73
1,1,9996,,,,,,,,,,9987,,,,,,,,,,2,2
1,1,9993,,,,,,,,,,9991,,,,,,,,,,3,2.3
1,1,8635,,,,,,,,,,9996,,,,,,,,,,1,0.44
1,1,9987,,,,,,,,,,8203,,,,,,,,,,1,0.44
1,1,9998,,,,,,,,,,9986,,,,,,,,,,3,2.3
1,1,9984,,,,,,,,,,9985,,,,,,,,,,1,2.3
1,1,9991,,,,,,,,,,9994,,,,,,,,,,3,2.6
1,1,9999,,,,,,,,,,8342,,,,,,,,,,2,0.57
1,1,8571,,,,,,,,,,9993,,,,,,,,,,3,2.25
1,1,4049,,,,,,,,,,7947,,,,,,,,,,1,1.4
1,1,10001,,,,,,,,,,10000,,,,,,,,,,1,0.85
1,1,8342,,,,,,,,,,9984,,,,,,,,,,1,0.75
1,1,9985,,,,,,,,,,9998,,,,,,,,,,1,0.2
1,1,10000,,,,,,,,,,8635,,,,,,,,,,1,3.75
1,1,9994,,,,,,,,,,8571,,,,,,,,,,1,0.95
1,1,7947,,,,,,,,,,9987,,,,,,,,,,2,0.91
1,1,8203,,,,,,,,,,10001,,,,,,,,,,2,2
1,1,9996,,,,,,,,,,9999,,,,,,,,,,1,0.53
1,1,4049,,,,,,,,,,9991,,,,,,,,,,2,0.57
1,1,9993,,,,,,,,,,9986,,,,,,,,,,2,2.75
1,1,8635,,,,,,,,,,8203,,,,,,,,,,1,0.29
1,1,9987,,,,,,,,,,9985,,,,,,,,,,3,2.3
1,1,9998,,,,,,,,,,9993,,,,,,,,,,3,
1,1,9986,,,,,,,,,,9994,,,,,,,,,,3,2.3
1,1,9984,,,,,,,,,,7947,,,,,,,,,,2,6.5
1,1,9991,,,,,,,,,,8342,,,,,,,,,,1,1.8
1,1,9999,,,,,,,,,,10000,,,,,,,,,,2,1.5
1,1,8571,,,,,,,,,,9996,,,,,,,,,,3,2.3
1,1,10001,,,,,,,,,,4049,,,,,,,,,,1,0.44
1,1,9985,,,,,,,,,,9997,,,,,,,,,,3,5
1,1,9986,,,,,,,,,,8342,,,,,,,,,,2,1.6
1,1,9984,,,,,,,,,,9991,,,,,,,,,,2,1.25
1,1,9994,,,,,,,,,,10000,,,,,,,,,,3,2.3
1,1,8571,,,,,,,,,,8635,,,,,,,,,,2,0.57
1,1,8203,,,,,,,,,,10001,,,,,,,,,,1,1.3
1,1,9999,,,,,,,,,,9993,,,,,,,,,,3,2.3
1,1,8342,,,,,,,,,,8635,,,,,,,,,,1,1.5
1,1,9985,,,,,,,,,,9987,,,,,,,,,,1,0.5
1,1,9997,,,,,,,,,,10000,,,,,,,,,,2,1.7
1,1,9986,,,,,,,,,,8571,,,,,,,,,,3,2.5
1,1,8203,,,,,,,,,,9994,,,,,,,,,,1,0.91
1,1,9999,,,,,,,,,,9984,,,,,,,,,,1,2.1
1,1,9993,,,,,,,,,,10001,,,,,,,,,,1,0.73
1,1,8342,,,,,,,,,,9991,,,,,,,,,,1,0.7
1,1,8635,,,,,,,,,,9986,,,,,,,,,,1,0.29
1,1,9987,,,,,,,,,,8203,,,,,,,,,,2,3
1,1,10000,,,,,,,,,,9993,,,,,,,,,,1,0.91
1,1,9994,,,,,,,,,,9984,,,,,,,,,,3,2.2
1,1,8571,,,,,,,,,,9999,,,,,,,,,,1,0.67
1,1,10001,,,,,,,,,,9985,,,,,,,,,,1,4.5
1,1,9985,,,,,,,,,,10000,,,,,,,,,,3,3
1,1,9997,,,,,,,,,,9991,,,,,,,,,,2,1.2
1,1,9986,,,,,,,,,,10001,,,,,,,,,,3,2.3
1,1,9984,,,,,,,,,,8571,,,,,,,,,,3,2.6
1,1,9994,,,,,,,,,,9987,,,,,,,,,,2,1.9
1,1,8203,,,,,,,,,,8635,,,,,,,,,,2,1.1
1,1,9999,,,,,,,,,,8342,,,,,,,,,,2,0.44
1,1,8342,,,,,,,,,,9997,,,,,,,,,,1,0.25
1,1,8635,,,,,,,,,,9994,,,,,,,,,,1,0.29
1,1,9987,,,,,,,,,,9984,,,,,,,,,,1,0.73
1,1,10000,,,,,,,,,,9986,,,,,,,,,,3,2.5
1,1,9991,,,,,,,,,,9993,,,,,,,,,,2,4
1,1,8571,,,,,,,,,,8203,,,,,,,,,,1,1.5
1,1,10001,,,,,,,,,,9999,,,,,,,,,,3,3.33
1,1,9985,,,,,,,,,,8342,,,,,,,,,,1,1.2
1,1,9987,,,,,,,,,,8635,,,,,,,,,,2,1.1
1,1,9986,,,,,,,,,,9991,,,,,,,,,,2,1.3
1,1,9984,,,,,,,,,,10001,,,,,,,,,,1,1.1
1,1,9994,,,,,,,,,,8571,,,,,,,,,,3,2.4
1,1,9999,,,,,,,,,,10000,,,,,,,,,,1,2.75
1,1,9993,,,,,,,,,,9997,,,,,,,,,,1,0.6
1,1,8342,,,,,,,,,,9993,,,,,,,,,,2,5.25
1,1,8635,,,,,,,,,,9999,,,,,,,,,,1,0.17
1,1,9997,,,,,,,,,,9984,,,,,,,,,,3,2.25
1,1,10000,,,,,,,,,,8203,,,,,,,,,,1,0.8
1,1,9991,,,,,,,,,,9985,,,,,,,,,,1,1.9
1,1,8571,,,,,,,,,,9987,,,,,,,,,,1,1.9
1,1,10001,,,,,,,,,,9994,,,,,,,,,,1,1.1
1,1,8342,,,,,,,,,,9986,,,,,,,,,,1,0.3
1,1,8635,,,,,,,,,,8571,,,,,,,,,,1,0.25
1,1,9997,,,,,,,,,,9985,,,,,,,,,,1,4
1,1,10000,,,,,,,,,,9994,,,,,,,,,,1,0.62
1,1,9991,,,,,,,,,,9984,,,,,,,,,,1,0.62
1,1,10001,,,,,,,,,,8203,,,,,,,,,,1,1.05
1,1,9993,,,,,,,,,,9999,,,,,,,,,,1,0.36
1,1,9985,,,,,,,,,,9993,,,,,,,,,,3,2.3
1,1,9987,,,,,,,,,,10001,,,,,,,,,,3,2.5
1,1,9986,,,,,,,,,,9997,,,,,,,,,,3,2.3
1,1,9984,,,,,,,,,,8635,,,,,,,,,,2,0.67
1,1,9994,,,,,,,,,,8342,,,,,,,,,,2,0.73
1,1,8571,,,,,,,,,,10000,,,,,,,,,,1,1.5
1,1,8203,,,,,,,,,,9991,,,,,,,,,,2,1.4
1,1,8342,,,,,,,,,,8203,,,,,,,,,,3,3.5
1,1,9985,,,,,,,,,,9999,,,,,,,,,,2,11
1,1,9997,,,,,,,,,,8571,,,,,,,,,,2,2.2
1,1,10000,,,,,,,,,,9984,,,,,,,,,,1,0.73
1,1,9991,,,,,,,,,,9987,,,,,,,,,,1,0.8
1,1,10001,,,,,,,,,,8635,,,,,,,,,,2,0.7
1,1,9993,,,,,,,,,,9986,,,,,,,,,,3,3.33
1,1,8635,,,,,,,,,,8342,,,,,,,,,,1,0.73
1,1,9987,,,,,,,,,,10000,,,,,,,,,,3,2.3
1,1,9986,,,,,,,,,,9985,,,,,,,,,,2,1.1
1,1,9994,,,,,,,,,,9991,,,,,,,,,,2,1
1,1,8571,,,,,,,,,,10001,,,,,,,,,,3,2.4
1,1,8203,,,,,,,,,,9993,,,,,,,,,,1,1.4
1,1,9999,,,,,,,,,,9997,,,,,,,,,,2,1.8
1,1,8342,,,,,,,,,,9994,,,,,,,,,,1,0.5
1,1,8635,,,,,,,,,,9984,,,,,,,,,,1,0.3
1,1,9997,,,,,,,,,,9986,,,,,,,,,,3,2.3
1,1,10000,,,,,,,,,,9987,,,,,,,,,,3,2.3
1,1,9991,,,,,,,,,,8203,,,,,,,,,,1,0.44
1,1,10001,,,,,,,,,,8571,,,,,,,,,,3,2.5
1,1,9993,,,,,,,,,,9985,,,,,,,,,,3,2.3
1,1,8342,,,,,,,,,,9984,,,,,,,,,,1,0.44
1,1,9985,,,,,,,,,,9994,,,,,,,,,,1,0.5
1,1,9997,,,,,,,,,,8203,,,,,,,,,,1,1.1
1,1,10000,,,,,,,,,,10001,,,,,,,,,,1,0.8
1,1,9986,,,,,,,,,,9999,,,,,,,,,,1,0.75
1,1,9991,,,,,,,,,,8635,,,,,,,,,,3,2.3
1,1,9993,,,,,,,,,,9987,,,,,,,,,,1,0.73
1,1,8635,,,,,,,,,,10000,,,,,,,,,,1,0.4
1,1,9987,,,,,,,,,,9997,,,,,,,,,,3,2.6
1,1,9984,,,,,,,,,,9985,,,,,,,,,,1,2.5
